competencia;selic_mes_pct;fracao_decimal
2019-01;0.54;0.0054
2019-02;0.49;0.0049
2019-03;0.47;0.0047
2019-04;0.52;0.0052
2019-05;0.54;0.0054
2019-06;0.47;0.0047
2019-07;0.57;0.0057
2019-08;0.50;0.005
2019-09;0.46;0.0046
2019-10;0.48;0.0048
2019-11;0.38;0.0038
2019-12;0.37;0.0037
2020-01;0.38;0.0038
2020-02;0.29;0.0029
2020-03;0.34;0.0034
2020-04;0.28;0.0028
2020-05;0.24;0.0024
2020-06;0.21;0.0021
2020-07;0.19;0.0019
2020-08;0.16;0.0016
2020-09;0.16;0.0016
2020-10;0.16;0.0016
2020-11;0.15;0.0015
2020-12;0.16;0.0016
2021-01;0.15;0.0015
2021-02;0.13;0.0013
2021-03;0.20;0.002
2021-04;0.21;0.0021
2021-05;0.27;0.0027
2021-06;0.31;0.0031
2021-07;0.36;0.0036
2021-08;0.43;0.0043
2021-09;0.44;0.0044
2021-10;0.49;0.0049
2021-11;0.59;0.0059
2021-12;0.77;0.0077
2022-01;0.73;0.0073
2022-02;0.76;0.0076
2022-03;0.93;0.0093
2022-04;0.83;0.0083
2022-05;1.03;0.0103
2022-06;1.02;0.0102
2022-07;1.03;0.0103
2022-08;1.17;0.0117
2022-09;1.07;0.0107
2022-10;1.02;0.0102
2022-11;1.02;0.0102
2022-12;1.12;0.0112
2023-01;1.12;0.0112
2023-02;0.92;0.0092
2023-03;1.17;0.0117
2023-04;0.92;0.0092
2023-05;1.12;0.0112
2023-06;1.07;0.0107
2023-07;1.07;0.0107
2023-08;1.14;0.0114
2023-09;0.97;0.0097
2023-10;1.00;0.01
2023-11;0.92;0.0092
2023-12;0.89;0.0089
2024-01;0.97;0.0097
2024-02;0.80;0.008
2024-03;0.83;0.0083
2024-04;0.89;0.0089
2024-05;0.83;0.0083
2024-06;0.79;0.0079
2024-07;0.91;0.0091
2024-08;0.87;0.0087
2024-09;0.84;0.0084
2024-10;0.93;0.0093
2024-11;0.79;0.0079
2024-12;0.93;0.0093
2025-01;1.01;0.0101
2025-02;0.99;0.0099
2025-03;0.96;0.0096
2025-04;1.06;0.0106
2025-05;1.14;0.0114
2025-06;1.10;0.011
2025-07;1.28;0.0128
2025-08;1.16;0.0116
2025-09;1.22;0.0122
2025-10;1.28;0.0128
2025-11;1.05;0.0105
2025-12;1.22;0.0122
2026-01;1.16;0.0116
2026-02;1.00;0.01
2026-03;1.21;0.0121
2026-04;1.09;0.0109
2026-05;1.07;0.0107
2026-06;1.12;0.0112
2026-07;1.22;0.0122
